age,agecat,degree,educ,emailhrs,hrs1,ndegree,netcat,nethrs,sex,sphrs1,srcheng2,tvhours,usecomp,usemail,usenet,useweb,webhrs,hapmar,happy,speduc,rincome,life,income,maeduc,paeduc,marital,postlife,pres96,richwork,satjob,sibs,spdeg,spwrksta,vote96,wrkstat,zodiac,incomdol,rincdol,husbeduc,wifeduc,husbhr,wifehr,husbft,wifeft,cpldifed,prtdifed
28,1,3,16,2,40,2,4,7,1,-1,1,12,1,1,1,1,5,0,2,97,8,1,99,16,16,5,1,0,2,1,1,7,0,2,1,8,-2,9000, , , , , , , ,0
46,3,2,15,-1,38,1,1,-1,2,-1,0,-1,1,0,0,0,-1,0,2,97,8,1,8,16,9,3,0,0,1,1,4,7,0,2,1,6,9000,9000, , , , , , , ,-7
68,5,2,13,-1,-1,1,1,-1,2,-1,0,2,0,0,0,0,-1,0,1,97,0,0,12,12,12,2,1,2,1,2,4,7,0,1,7,7,18750,-1, , , , , , , ,0
44,3,4,18,3,50,2,4,4.5,1,40,3,0,1,1,1,1,1.5,1,2,19,19,0,23,11,11,1,8,1,9,1,0,4,1,1,1,2,110000,55000,18,19,50,40,1,1,-1,0
52,4,4,20,4,40,2,4,10,1,50,5,-1,1,1,1,1,6,1,1,18,22,1,23,11,12,1,0,2,1,1,0,4,1,1,1,6,110000,100000,20,18,40,50,1,1,2,0
52,4,1,12,2,45,1,3,3,1,40,0,1,1,1,1,1,1,2,2,11,15,2,19,9,97,1,1,1,2,2,2,0,1,1,1,2,55000,27500,12,11,45,40,1,1,1, 
51,4,3,17,.166666666666667,50,2,2,.333333333333333,1,-1,0,-1,1,1,1,1,.166666666666667,1,1,16,19,1,22,18,6,1,0,2,1,1,2,3,7,1,1,12,100000,55000,17,16,50, ,1,0,1,-11
50,4,3,16,3,-1,2,4,5,2,-1,6,1,1,1,1,1,2,0,2,97,20,0,20,12,13,3,2,1,0,1,4,7,0,1,4,6,67500,67500, , , , , , , ,1
77,5,2,15,-3,-1,2,9,-3,1,-1,99,-1,1,9,9,9,-3,0,1,97,0,1,10,9,12,2,0,2,0,0,15,7,0,1,5,5,13750,-2, , , , , , , ,3
40,3,0,8,-1,50,0,1,-1,1,-1,0,3,0,0,0,0,-1,2,3,11,10,0,10,0,98,1,1,1,0,2,5,0,7,1,1,4,13750,13750,8,11,50, ,1,0,-3, 
47,3,1,12,-1,-1,1,1,-1,2,-1,0,-1,1,0,0,0,-1,1,1,12,0,1,14,97,98,1,0,0,1,1,6,1,6,2,6,2,23750,-2,12,12, , ,0,0,0, 
19,1,9,11,0,-1, ,2,.5,1,-1,8,2,1,0,1,1,.5,0,2,97,0,2,22,12,14,5,8,0,0,0,2,7,0,3,6,6,100000,-2, , , , , , , ,2
82,5,3,16,-1,-1,2,1,-1,2,-1,0,3,0,0,0,0,-1,0,2,97,0,2,24,18,11,2,1,1,1,1,1,7,0,1,5,1,-1,-2, , , , , , , ,-5
83,5,3,12,-3,-1,1,9,-3,2,-1,99,-1,9,9,9,9,-3,0,1,97,0,1,24,98,98,2,0,1,0,0,3,7,0,1,5,3,-1,-2, , , , , , , , 
89,5,2,12,-1,-1,1,1,-1,1,-1,0,4,0,0,0,0,-1,0,2,97,0,2,2,8,98,2,1,1,2,1,2,7,0,1,5,6,2000,-1, , , , , , , , 
88,5,2,13,-1,-1,1,1,-1,2,-1,0,99,0,0,0,0,-1,0,3,97,0,0,24,12,98,2,1,2,2,0,7,7,0,1,5,6,-1,-2, , , , , , , , 
72,5,1,12,-1,-1,1,1,-1,2,-1,0,7,0,0,0,0,-1,0,2,97,0,0,10,4,6,3,1,1,0,2,2,7,0,1,5,11,13750,-1, , , , , , , ,2
69,5,1,13,-1,-1,1,1,-1,2,-1,0,-1,0,0,0,0,-1,0,1,97,0,1,24,12,6,2,0,0,0,4,3,7,0,2,5,4,-2,-2, , , , , , , ,-6
34,2,3,17,-1,40,2,1,-1,2,40,0,-1,0,0,0,0,-1,8,1,98,24,2,24,99,98,1,0,0,1,1,7,8,1,2,1,99,-1,-1, ,17,40,40,1,1, , 
55,4,1,12,-1,-1,1,1,-1,2,50,0,1,0,0,0,0,-1,2,2,14,0,2,18,3,8,1,1,0,0,1,9,1,1,2,7,6,45000,-2,14,12,50, ,1,0,2,5
37,2,2,12,.25,60,1,3,1.41666666666667,1,-1,1,-1,1,1,1,1,1.16666666666667,0,2,97,15,2,21,15,98,5,0,1,1,1,2,7,0,1,1,1,82500,21250, , , , , , , , 
43,3,1,14,.5,45,1,2,.5,1,-1,0,4,1,1,1,0,0,0,9,97,13,0,13,12,14,5,1,0,0,1,8,7,0,2,1,7,21250,21250, , , , , , , ,2
29,1,4,16,6,50,2,4,8,1,-1,1,2,1,1,1,1,2,0,2,97,20,1,20,13,16,5,1,3,1,1,3,7,0,1,1,2,67500,67500, , , , , , , ,3
57,4,1,13,-1,-1,1,1,-1,2,-1,0,1,0,0,0,0,-1,0,2,97,24,0,24,14,98,5,1,2,0,2,3,7,0,1,5,9,-1,-1, , , , , , , , 
36,2,1,12,-1,-1,1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,2,97,12,1,98,12,97,3,0,0,2,2,7,7,0,2,4,4,-2,18750, , , , , , , , 
52,4,4,19,-1,-1,2,1,-1,1,-1,0,1,0,0,0,0,-1,0,3,97,0,0,8,97,97,5,1,4,0,1,13,7,0,1,8,5,9000,-2, , , , , , , , 
56,4,3,16,2,40,2,3,2.5,2,30,1,5,1,1,1,1,.5,1,1,19,17,1,23,12,16,1,1,2,1,2,1,4,1,1,1,7,110000,37500,19,16,30,40,1,1,3,6
66,5,4,16,10,42,2,5,16,1,50,10,3,1,1,1,1,6,1,2,18,19,0,23,98,98,1,1,2,0,1,1,4,1,1,1,5,110000,37500,16,18,42,50,1,1,-2, 
34,2,0,11,0,40,0,3,2,1,-1,10,2,1,0,1,1,2,0,2,97,11,0,21,97,97,5,1,0,0,2,2,7,0,3,1,7,82500,16250, , , , , , , , 
46,3,1,13,-1,-1,1,1,-1,2,40,0,3,0,0,0,0,-1,2,2,98,0,0,23,12,98,1,1,3,2,1,5,4,1,1,7,8,110000,-2, ,13,40, ,1,0, , 
26,1,3,15,-1,35,2,1,-1,1,40,0,2,0,0,0,0,-1,2,2,15,9,0,15,20,17,1,2,0,0,1,2,1,2,2,2,5,27500,11250,15,15,35,40,0,0,0,-3
39,2,1,12,0,40,1,2,.5,2,-1,0,-1,1,0,1,1,.5,0,2,97,98,1,98,16,12,3,0,0,2,1,2,7,0,2,1,7,-2,-2, , , , , , , ,-4
51,4,1,12,1,40,1,3,2,2,-1,9,2,1,1,1,1,1,0,1,97,14,1,14,9,97,3,1,3,2,2,4,7,0,1,1,10,23750,23750, , , , , , , , 
23,1,3,16,7,-1,2,4,7.33333333333333,2,-1,11,0,1,1,1,1,.333333333333333,0,2,97,2,1,2,16,20,5,1,1,0,2,0,7,0,1,7,7,2000,2000, , , , , , , ,4
21,1,9,15,0,38, ,2,.5,2,-1,0,-1,1,0,1,1,.5,0,3,97,98,1,98,16,98,5,0,0,1,1,3,7,0,3,1,4,-2,-2, , , , , , , , 
78,5,1,10,-1,-1,1,1,-1,2,-1,0,4,0,0,0,0,-1,0,2,97,0,2,8,98,0,3,1,0,0,0,3,7,0,2,5,12,9000,-2, , , , , , , , 
