school,loinc93,lep93,lep94,grad93,grad94,act94,act93,pctact93,pctact94,math93,math94me,mathch94,read93,read94me,readch94,scienc93,sci94me,scich94,id,medloinc
Amundsen,70.7,22.9,26,34.7,49,15.9,15.9,49,40.7,163,37,3,171,42,-5,188,55,8,1,1
Austin,63,0,0,17.6,28,14,14.2,78.1,68.4,127,11,-4,127,20,-6,143,22,3,2,1
Bogan,6.4,5.2,5.9,73.4,73.9,17.3,17.7,69.3,69.1,187,53,5,190,58,2,208,60,-2,3,0
Bowen,83.6,11.4,11.4,35.6,61.5,14.6,15.2,73.3,60.4,139,21,-1,139,31,1,151,24,-1,4,1
Calumet,73.6,0,0,41.4,45,14.3,14.7,38.8,62,114,11,6,89,12,2,137,12,-2,5,1
Carver Area,62.1,0,0,59.1,42.2,14.5,16.2,62.5,57.6,156,20,-7,161,27,-17,153,38,12,6,1
Chicago Agric.,33.7,.4,.9,70.4,77.4,17.8,18.2,65.3,69.9,205,61,1,225,73,3,235,76,-2,7,0
Chicago Vocat.,23.6,0,0,63.8,56,15.4,15.3,47.6,54.7,159,30,2,174,44,-4,179,34,-10,8,0
Clemente,24.2,25.8,29.6,37.1,37.1,14.2,14.5,80.2,51.5,147,20,-5,154,25,-9,161,23,-7,9,0
Collins,79.3,.1,.1,32.6,38.4,14.5,14.6,42.1,46.7,136,20,3,123,15,-6,149,22,0,10,1
Corliss,28.8,.1,.1,55.3,43.9,14.9,16.2,58.5,69.2,160,26,-7,178,35,-15,173,41,4,11,0
Crane,75.3,0,0,28.3,28.9,14.9,15.1,36,30.1,132,16,-1,145,27,-4,154,20,-7,12,1
Cregier Vocat.,50.7,0,0,27.4,21.2,14.3,14.4,20,7.7,129,13,1,116,17,-4,131,9,3,13,0
Curie Metro,53.6,9.1,9.4,61.7,64.8,17.1,16.9,64.8,56.4,181,53,7,200,54,-5,206,51,-10,14,0
Dunbar Vocat.,70.2,0,0,54,46,14.9,15.1,69.4,52.7,164,38,5,185,44,-11,170,37,-3,15,1
DuSable,82.8,0,0,32.2,36.1,14.1,14.1,57.9,47.3,133,16,-1,133,22,-7,144,19,-1,16,1
Englewood,78.3,.1,.1,47.9,39.6,15,14.7,59.7,39.5,125,13,4,122,12,-11,147,18,-10,17,1
Farragut,82.9,26.2,27.5,24.7,27.2,14.9,14.3,43.9,45.9,134,22,6,120,30,8,157,26,-3,18,1
Fenger,57,0,0,51.4,50.3,15.2,15.4,37,34.3,152,19,-9,156,28,-10,159,25,1,19,0
Flower Vocat.,86.2,.1,.1,27,39.3,13.8,14.2,31.1,23.7,131,11,-1,113,15,-2,135,5,-2,20,1
Foreman,71.4,31.4,32.5,46,45.8,15.5,15.5,50.9,47.2,164,34,-4,172,44,-4,185,45,-2,21,1
Gage Park,51.9,7.7,9.1,41.2,42.2,15.8,15.6,41.8,53.2,157,25,-5,161,34,-6,167,28,-3,22,0
Harlan,58.4,0,.1,46.3,42.4,15,15.5,66.1,37.4,143,20,0,157,27,-8,175,28,-2,23,1
Harper,38,.2,.1,24.1,32.8,14.1,14.5,25.6,26,128,12,1,127,19,-3,150,14,-6,24,0
Hirsch Metro,52.1,0,0,46.1,48,15.3,15.3,74.8,60.6,162,20,-16,188,36,-22,175,36,-2,25,0
Hubbard,81,8.6,8.5,59.2,73.9,17,17.7,53.5,72.5,198,68,9,200,65,6,221,53,-18,26,1
Hyde Park,53.8,0,0,56.1,59,17.7,18,77.9,77.1,206,57,-5,215,61,-8,226,64,-10,27,0
Industrial Skill,53.7,.4,.8, , ,16.8,16.3,8.7,10.8, , , , , , , , , ,28,0
Jones Metro,57.6,1.4,2.6, , ,15.4,15.4,54.5,46, ,58, , ,67, ,169,39,7,29,0
Juarez,83.8,27.4,28.3,42.5,40.5,16.4,16,57.2,54.2,163,44,8,160,37,-2,175,43,3,30,1
Julian,33.5,.1,.1,55.8,43.6,16.1,15.8,62.6,53.3,151,29,5,161,43,3,181,28,-18,31,0
Kelly,89.7,22.7,25.2,27.9,44.1,15.4,15.4,47.3,41.5,161,43,7,171,35,-10,170,43,10,32,1
Kelvyn Park,77.8,22.4,26.3,38.5,48.7,14.8,14.9,33.2,30.8,143,20,1,154,25,-14,162,34,4,33,1
Kennedy,48,4.7,8.6,38.9,60.9,15.8,16.1,44.4,65.9,182,53,5,184,56,5,187,60,15,34,0
Kenwood,36.9,.3,.4,58.6,60.4,19.6,20,99.6,89,230,65,-1,248,66,-9,245,75,0,35,0
King,78.1,0,0,29,36,14.4,14.4,48.3,42.2,128,14,3,129,22,0,142,13,-6,36,1
Lake View,22,1.6,13.6,51.3,35.3,15.8,16.2,51.7,50.9,181,56,10,193,49,-8,187,49,-1,37,0
Lane Tech,41.1,.3,0,81.2,87.7,20.9,21.4,90,86.6,285,94,0,292,91,-3,286,94,-1,38,0
Lincoln Park,12.6,3.1,2.7,57.1,66.1,20.6,20.3,89.5,92.9,213,70,14,228,68,1,269,76,1,39,0
Lindblom Tech,49.8,0,0,71.4,79.4,18,18.4,79,90.6,224,87,-2,226,76,2,243,82,-9,40,0
Manley,74.8,0,0,35,34.4,14.4,14.5,24.6,27.3,131,9,-2,123,12,-10,145,23,8,41,1
Marshall Metro,37.8,.1,.1,23.4,28.8,14.2,14.4,46.2,45.1,131,13,-2,132,30,5,151,24,3,42,0
Mather,57.8,17.4,24.8,67.8,69.4,16.8,17.5,64.3,67.9,191,51,0,191,47,-9,214,56,-4,43,1
Morgan Park,45.1,1.8,2.2,70.9,75.9,18.9,18.8,79,83.9,211,62,1,228,67,-4,232,63,-8,44,0
N. North Magnet,81.1,1.3,2.6,36.1,44.7,14.5,14.7,44.8,38.3,140,18,-1,144,16,-13,155,17,-7,45,1
Orr,61.7,.5,.6,30.5,25.4,14.6,14.1,43.3,53.6,136,12,-4,134,17,-12,174,26,-8,46,1
Phillips,78.5,0,0,34,27.5,14.4,14,43.4,42.3,121,12,3,127,17,-3,141,22,6,47,1
Prosser Vocat.,62.5,1.5,5.5,42.6,67.5,16,16.1,43.9,48,207,58,-11,215,51,-20,196,64,2,48,1
Richards Vocat.,24.6,.1,2.1,54.2,51.2,14.8,14.8,41.4,43.4,144,17,-4,152,26,-6,155,24,4,49,0
Robeson,62.4,0,0,32,45,13.6,14.4,84.2,40.1,138,20,2,125,18,-2,138,16,-1,50,1
Roosevelt,67.6,29.5,32.8,49.4,47.4,15.5,15,67.7,66,158,35,4,167,41,-6,182,42,-2,51,1
Schurz,67.2,25.7,29.3,41.5,44.1,15.1,15.2,36.2,33.9,155,29,1,168,37,-6,164,35,3,52,1
Senn Metro,70.5,28.6,27.7,47.3,40.3,15,15.5,48.8,56.3,159,40,7,134,33,3,159,32,2,53,1
Simeon Vocat.,56.5,0,0,55.7,63.4,15.7,15.8,54,52.8,176,43,-1,196,45,-14,180,41,-1,54,0
South Shore,52.7,0,.1,45.3,42.9,14.7,14.4,38.2,56,136,9,-11,134,23,-5,141,21,1,55,0
Steinmetz,33.5,11.5,9.1, ,50.1,16.2,16.5,59.2,46.3,181,46,3,182,44,-6,189,54,7,56,0
Sullivan,77.9,15.9,14.1,38.9,58.4,17,16.3,56.3,58,178,48,3,189,51,-4,207,60,1,57,1
Taft,47.5,4.1,6.2,63.3,57,16.8,17.1,68.5,67.2,178,46,3,187,46,-5,187,50,2,58,0
Tilden,65,7.2,7.5,24.8,38.1,15.2,14.8,31.7,35.1,136,20,3,124,17,-5,151,21,-4,59,1
Von Steuben,40.1,.8,1.5,78.2,66.5,20,19.9,91.3,95.3,246,89,8,249,83,-1,267,88,-2,60,0
Washington,33.8,6.7,7.8,51.9,59.7,16.7,17.3,52.6,53.7,182,46,-3,196,47,-11,202,51,-6,61,0
Wells,41.9,18.3,19.1,35,35.7,15.8,15.1,50.2,43.1,156,25,-6,155,30,-5,172,33,-5,62,0
Westinghouse,67.8,0,0,61.9,42.1,14.7,15,28.6,28.1,158,24,-6,166,26,-18,139,28,18,63,1
Young Magnet,28.1,.2,.1,87.3,88,22.5,22.3,91.7,96.4,331,99,1,327,97,-1,311,98,1,64,0
